Date,BAJFINANCE
2017-06-23,1400.75
2017-06-27,1349.95
2017-06-28,1372.35
2017-06-29,1376.3
2017-06-30,1373.1
2017-07-03,1387.15
2017-07-04,1379.55
2017-07-05,1398.55
2017-07-06,1399.3
2017-07-07,1391.7
2017-07-10,1412.8
2017-07-11,1419.2
2017-07-12,1443.7
2017-07-13,1485.9
2017-07-14,1499.4
2017-07-17,1538.5
2017-07-18,1512.35
2017-07-19,1541.85
2017-07-20,1595.35
2017-07-21,1621.35
2017-07-24,1597.4
2017-07-25,1627.5
2017-07-26,1687.15
2017-07-27,1679.35
2017-07-28,1701.35
2017-07-31,1703.1
2017-08-01,1716.25
2017-08-02,1707.2
2017-08-03,1701.75
2017-08-04,1723.45
2017-08-07,1798.15
2017-08-08,1779.8
2017-08-09,1697.7
2017-08-10,1635.6
2017-08-11,1695.4
2017-08-14,1710.9
2017-08-16,1721.35
2017-08-17,1728.75
2017-08-18,1704.95
2017-08-21,1690.6
2017-08-22,1682.9
2017-08-23,1779.3
2017-08-24,1760.1
2017-08-28,1829.95
2017-08-29,1773.4
2017-08-30,1788.05
2017-08-31,1781.9
2017-09-01,1799.95
2017-09-04,1801.35
2017-09-05,1794.4
2017-09-06,1858.95
2017-09-07,1963.2
2017-09-08,1891.2
2017-09-11,1920.45
2017-09-12,1894.4
2017-09-13,1907.15
2017-09-14,1909.9
